song_id,track_id,artist_name,title,kmeans_cluster,agg_cluster,dbscan_cluster,is_popular
SOMZWCG12A8C13C480,TRAAAAW128F429D538,Casual,I Didn't Mean To,2,0,0,1
SOCIWDW12A8C13D406,TRAAABD128F429CF47,The Box Tops,Soul Deep,4,1,0,0
SOXVLOJ12AB0189215,TRAAADZ128F9348C2E,Sonora Santanera,Amor De Cabaret,1,5,0,0
SONHOTT12A8C13493C,TRAAAEF128F4273421,Adam Ant,Something Girls,1,5,0,0
SOFSOCN12A8C143F5D,TRAAAFD128F92F423A,Gob,Face the Ashes,4,1,0,1
SOYMRWW12A6D4FAB14,TRAAAMO128F1481E7F,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),1,0,0,0
SOMJBYD12A6D4F8557,TRAAAMQ128F1460CD3,Rated R,Keepin It Real (Skit),4,1,0,0
SOHKNRJ12A6701D1F8,TRAAAPK128E0786D96,Tweeterfriendly Music,Drop of Rain,4,2,0,0
SOIAZJW12AB01853F1,TRAAARJ128F9320760,Planet P Project,Pink World,2,0,0,0
SOUDSGM12AC9618304,TRAAAVG12903CFA543,Clp,Insatiable (Instrumental Version),4,1,0,0
SOQHXMF12AB0182363,TRAAAVO128F93133D4,JennyAnyKind,Young Boy Blues,1,1,0,0
SOKEJEJ12A8C13E0D0,TRAABCL128F4286650,Wayne Watson,The Urgency (LP Version),2,1,0,0
SOMUYGI12AB0188633,TRAABDL12903CAABBA,Andy Andy,La Culpa,4,1,0,0
SORAMLE12AB017C8B0,TRAABJL12903CDCF1A,Bob Azzam,Auguri Cha Cha,4,1,0,0
SOBONFF12A6D4F84D8,TRAABJV128F1460C49,Lionel Richie,Tonight Will Be Alright,5,2,0,0
SOHUOAP12A8AE488E9,TRAABLR128F423B7E3,Blue Rodeo,Floating,2,4,0,1
SOUQQEA12A8C134B1B,TRAABNV128F425CEE1,Richard Souther,High Tide,4,1,0,0
SOILPQQ12AB017E82A,TRAABRB128F9306DD5,Faiz Ali Faiz,Sohna Nee Sohna Data,3,1,0,0
SOXLBJT12A8C140925,TRAABVM128F92CA9DC,Tesla,Caught In A Dream,2,2,0,1
SOZVMJI12AB01808AF,TRAABXG128F9318EBD,lextrical,Synthetic Dream,0,3,0,0
SOWTBJW12AC468AC6E,TRAABYN12903CFD305,Jimmy Wakely,Broken-Down Merry-Go-Round,2,0,0,0
SOBEBDG12A58A76D60,TRAABYW128F4244559,Alice Stuart,Kassie Jones,1,5,0,0
SOZCTXZ12AB0182364,TRAACCG128F92E8A55,Elena,Setanta matins,2,0,0,0
SOBBUGU12A8C13E95D,TRAACER128F4290F96,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,5,2,0,1
SOBLGCN12AB0183212,TRAACFV128F935E50B,SUE THOMPSON,James (Hold The Ladder Steady),1,5,0,1
SOPSWQW12A6D4F8781,TRAACHN128F1489601,Five Bolt Main,Made Like This (Live),1,5,0,0
SOZQDIU12A58A7BCF6,TRAACIW12903CC0F6D,Clp,Superconfidential,2,1,0,0
SONYPOM12A8C13B2D7,TRAACLV128F427E123,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),2,0,0,0
SOBZBAZ12A6D4F8742,TRAACNS128F14A2DF5,Willie Bobo,Spanish Grease,2,0,0,0
SOVYKGO12AB0187199,TRAACOW128F933E35F,Faye Adams,Crazy Mixed Up World,0,0,0,0
SOGNCJP12A58A80271,TRAACPE128F421C1B9,Terry Callier,Do You Finally Need A Friend,5,2,0,1
SOLLHMX12AB01846DC,TRAACQT128F9331780,John Wesley,The Emperor Falls,3,4,0,0
SOYTPEP12AB0180E7B,TRAACSL128F93462F4,The Shangri-Las,Twist and Shout,4,1,0,1
SOGXHEG12AB018653E,TRAACTB12903CAAF15,Billie Jo Spears,It Makes No Difference Now,1,1,0,0
SOOLYAZ12A6701F4A6,TRAACVS128E078BE39,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version),5,5,0,0
SOGOSOV12AF72A285E,TRAACZK128F4243829,Sierra Maestra,¿Dónde va Chichi?,1,2,0,0
SOJXVAH12A8C139700,TRAADDS128F425C68B,Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",5,4,0,1
SOVXMTN12A8C135A18,TRAADED128F42741FD,Despina Vandi,OUTE ENA EFHARISTO,2,2,0,0
SORSECL12AB0182267,TRAADEV128F9348C0A,Javier Navarrete,Midnight Swim,4,1,0,0
SOOGFBZ12AC3DF7FF2,TRAADHS12903CE70A9,Jacob Young,In A Subtle Way,3,0,0,0
SOMSBGZ12AB018C4CB,TRAADIV12903CB15C1,Scarlet's Remains,Spin,2,0,0,1
SONYRZV12AB018AF70,TRAADLH12903CA70EE,The Suicide Machines,Burning In The Aftermath,5,5,0,1
SONQBUB12A6D4F8ED0,TRAADLN128F14832E9,The Rolling Stones,Angie (1993 Digital Remaster),5,2,0,1
SOHGKJW12AC468A8BD,TRAADLR12903CF8D7E,Roberto Torres,Sabor Guajiro,2,0,0,0
SOINBCU12A6D4F94C0,TRAADLX128F1469250,Loudon Wainwright III,Human Cannonball,2,5,0,1
SOTWVQT12A58A79650,TRAADMH128F9343E59,R.L. Burnside,Glory Be,4,1,0,1
SOTSEJY12AB0180F56,TRAADNA128F9331246,Stevie Ray Vaughan,Crossfire,5,2,0,0
SOTSETT12AB01863B8,TRAADOF12903CAA1C1,John Hammond,I Can't Be Satisfied,2,2,0,0
SOTUNMH12A6D4FA3E6,TRAADQX128F422B4CF,Casiotone For The Painfully Alone,Nashville Parthenon,1,1,0,1
SOEPPKB12AB018418B,TRAADRN128F932D607,Ec8or,Cocain Ducks,4,1,0,0
SOGKIWV12A6D4F86C4,TRAADVH128EF34DE7A,The New York Dolls,Human Being,1,5,0,1
SOPHYIS12AAF3B35A3,TRAADYB128F92D7E73,Eliane Elias,The More I See You,4,0,0,1
SOFHBAR12A6701D0FE,TRAADYI128E078FB38,Lost Boyz,Certain Things We Do,2,2,0,1
SOCPRKM12AB018A2FD,TRAAEAM128F934B199,The Germs,Forming,1,5,0,0
SOFGHAM12AB0186412,TRAAEDJ12903CCE390,Yamandu Costa,Mafuá,1,1,0,0
SODHVES12A6701CE6B,TRAAEEH128E0795DFE,Chris Rea,Driving Home For Christmas,1,1,0,1
SOXIATP12AAF3B2184,TRAAELO128F9302DD1,Perrey And Kingsley,Spooks In Space,2,0,0,1
SOGNQWU12A8AE4868F,TRAAEMJ128F425A917,Eurythmics,Tous Les Garçons Et Les Filles,5,2,0,0
SOYQOFI12A6D4F76E1,TRAAENC128F1451DE9,Francis Dunnery,Too Much Saturn,2,0,0,1
SOVOLGY12A6D4F822B,TRAAENP128F147BF32,John Cale,Movement 4 [from Kiss] (Album Version),1,5,0,0
SOMZCVH12AB0182B8E,TRAAEOU128F9309DE0,Suzanne Ciani,Stream,2,0,0,1
SONXJBL12AAF3B2C0C,TRAAERU128F930674F,Vickie Winans,Make Me Over,4,1,0,0
SOYWZTU12AB0180E26,TRAAEUB12903CDD3EA,The Berzerker,Deform (live),4,1,0,0
SOLGHDZ12AB0183B11,TRAAEWG128F930B3A4,Kings Of Leon,Wicker Chair,5,2,0,1
SOTNTNJ12AAA15FBD6,TRAAEXM128F92D47C8,Edith Lefel,An ti chans',4,1,0,0
SOXZXXV12AAF3B3A67,TRAAFEB128F92F8694,Taras,I Will Love Again (JJ's Club Radio),4,1,0,0
SOPIKEG12A58291636,TRAAFJW128F428A424,NOFX,Stickin In My Eye,5,2,0,1
SOIRNBO12AC468D207,TRAAFKJ12903D02552,Murskahumppa,Ota kiinni,2,0,0,0
SOSBDSF12AB0189007,TRAAFMS128F933AB23,Soda Stereo,Entre Caníbales,4,1,0,1
SOIJXXM12A8C1416D6,TRAAFON128F42926FB,Bruce Rowland,Rosemary Recalls,0,0,0,0
SOHMMMC12AB0181C42,TRAAFRU128F9339158,Xcultures,Sudanese Dance,2,0,0,0
SOVJXVJ12A8C13517D,TRAAFSM128F425A2C5,White Heart,Where The Thunder Roars (Tales Of Wonder Album Version),2,0,0,0
SOFZCTA12AB0188D8F,TRAAFUJ128F933F42B,Heavy D / McGruff,Wanna Be A Player,2,2,0,0
SOLRYQR12A670215BF,TRAAFYL128E07856A7,Van Halen,Panama (Remastered Album Version),5,2,0,1
SOCHRXB12A8AE48069,TRAAGCZ128F93210FD,Black Eyed Peas,Let's Get It Started,5,2,0,1
SOKBBXO12A6701DEA0,TRAAGEC128E079252C,Nine Inch Nails,Metal,5,4,0,1
SOWHYUG12A58A77FAB,TRAAGGE128F9325E2C,Nick Cave & The Bad Seeds,She Fell Away (2009 Digital Remaster),4,1,0,0
SOYSTDI12A6D4F6500,TRAAGHM128EF35CF8E,Nadine Renee,Next Time,2,3,0,0
SOOOROX12A6D4F8400,TRAAGJV128F1464090,Lesley Gore,It's My Party,1,5,0,0
SONSPZE12AB01819CE,TRAAGKF128F932D5A2,Smartbomb,Complicate It,2,0,0,0
SOHWGFU12AB017B036,TRAAGKQ128F92EAF39,Suburbs,Monde De Fou,1,5,0,0
SOQQVQJ12AB0185192,TRAAGKS128F9314884,Emperor,Opus a Satana (Part 2),4,2,0,0
SODRHHD12AB0189F2A,TRAAGMJ12903CAD7D4,Julien Clerc,This Melody (Live),2,0,0,0
SOQGFVO12A8C13C8C3,TRAAGNL128F4299BF1,Glen Campbell,I'm Gone This Time,1,5,0,0
SORABMD12A8C136672,TRAAGOH128F42593CE,T.G. Sheppard,You Feel Good All Over,2,5,0,0
SOTUBVH12AB018D2EC,TRAAGPF12903CE027E,Slim Whitman,Indian Love Call,1,5,0,0
SOMQAGT12A8C132DB4,TRAAGPH128F4273C8D,Savage Garden,You Can Still Be Free,4,2,0,0
SOKLLOH12A67020F2C,TRAAGPJ128F428CD1B,Queens Of The Stone Age,I Never Came,5,1,0,1
SONRLQH12AB017C232,TRAAGUA128F93236E8,Hank Penny & The Lincoln Penny Orchestra,Dixie,1,1,0,0
SODDZAD12A6701DC4C,TRAAGVF128E0789785,Inspiral Carpets,Commercial Reign,2,0,0,1
SORENXV12A6701F61F,TRAAGVM128E0784D95,Borialis,Hourglass,1,5,0,1
SOYMMDY12AB01825B2,TRAAGXN128F92DE52C,The Dirty Skirts,Wake,2,0,0,0
SOJWQIP12A6D4F710A,TRAAGZU128EF360F47,Flor Silvestre,Caricia Y Herida,1,5,0,0
SOOVOKS12AB017EE57,TRAAHDH128F93094B6,Bézu,Le tortillard,0,3,0,0
SORWHWY12A6702038E,TRAAHEG128E07861C3,Redman,WKYA (drop),5,1,0,1
SOGYYLE12A8C13E5EA,TRAAHEH128F427FCEF,Solistiyhtye Suomi,Teräslintu,0,0,0,0
SOITUXQ12AB0183AE9,TRAAHEQ128F93057B4,Eddie Cantor,Now's The Time To Fall In Love,1,5,0,0
SOTWEZZ12A8C142B60,TRAAHER128F92E3FE9,Schizoid,Grim Prospects (Gross Prospects - Bad Trip Remix),4,1,0,0
SOUVRGZ12A58A77F90,TRAAHJX128F9312B83,Kai Winding,Mangos,4,1,0,0
SOBLTSM12A6D4F9EEA,TRAAHKE128F421389B,Sonny Simmons,A Distant Voice,4,1,0,0
SOUQVUD12A8C142DCE,TRAAHMO128F92DE7C9,Mira,Openbare Weg,2,5,0,0
SOCRPDR12AB0185B75,TRAAHPZ12903CB4643,Citizen Kaned,President Johnson,2,4,0,0
SOXVBVL12AF72A600C,TRAAHRF128F92FE234,The Brooklyn Tabernacle Choir,Lead Me Lord,2,0,0,1
SOIQHDR12AB01896C8,TRAAHTH12903CCFFE1,Ellen McIlwaine,Spontanous Combustion,1,5,0,0
